DayCode,Occupation,Power
0.5,3,0.75569112
0.5,3,0.33965056
0.5,3,0.22216774
0.5,3,0.40449967
0.5,3,0.95634744
0.5,3,0.32924844
0.5,3,0.30080433
0.5,3,0.28399578
0.5,3,0.35147969
0.5,3,0.88932267
0.5,3,0.39763715
0.5,3,0.33326944
0.5,3,0.28121032
0.5,3,0.29667753
0.5,3,0.81116848
0.5,3,0.32416474
0.5,3,0.27356892
0.5,3,1.7640461
0.5,3,1.7247093
0.5,3,1.8498579
0.5,3,1.1623607
0.5,3,1.0621329
0.5,3,1.097324
0.5,3,1.0377951
0.5,3,1.5711603
0.5,3,1.0647638
0.5,3,1.0858493
0.5,3,1.4075108
0.5,3,1.2979076
0.5,3,3.0577216
0.5,3,2.5796208
0.5,3,1.656876
0.5,3,1.6505439
0.5,3,0.82250189
0.5,3,2.0631253
0.5,3,2.2541308
0.5,3,1.920075
0.5,3,1.6417341
0.5,3,0.25175933
0.5,3,1.1065573
0.5,3,0.50502297
0.5,3,1.0346048
0.5,3,0.34432892
0.5,3,0.97250644
0.5,3,0.40054451
0.5,3,0.81263582
0.5,3,0.62075389
0.5,3,0.37089556
0.5,3,0.87211922
0.5,3,0.39274578
0.5,3,0.32995244
0.5,3,0.81231267
0.5,3,0.31479533
0.5,3,0.60264711
0.5,3,2.7086153
0.5,3,0.44203367
0.5,3,1.3914661
0.5,3,2.9494416
0.5,3,0.67828078
0.5,3,0.41383103
0.5,3,1.7535492
0.5,3,1.3090073
0.5,3,1.1941312
0.5,3,1.5439081
0.5,3,1.2427072
0.5,3,2.7968541
0.5,3,2.3951145
0.5,3,1.9344823
0.5,3,1.3860367
0.5,3,1.3249946
0.5,3,1.502762
0.5,3,1.9487814
0.5,3,1.3722786
0.5,3,1.4819036
0.5,3,1.4527503
0.5,3,2.663384
0.5,3,2.371559
0.5,3,1.7888959
0.5,3,1.7372547
0.5,3,1.4262347
0.5,3,2.0863152
0.5,3,1.6167116
0.5,3,1.5616431
0.5,3,1.6860435
0.5,3,1.4411503
0.5,3,1.9926507
0.5,3,1.4033656
0.5,3,1.7045711
0.5,3,1.3004034
0.5,3,1.2931925
0.5,3,0.37181609
0.5,3,0.2985683
0.5,3,0.26586178
1,3,0.38734722
1,3,0.94164344
1,3,0.40538211
1,3,0.35069034
1,3,0.28257297
1,3,0.51390522
1,3,0.71837086
1,3,0.31059422
1,3,0.33204695
1,3,0.25442667
1,3,0.30705873
1,3,0.93082811
1,3,0.29688956
1,3,0.43594778
1,3,0.377615
1,3,0.41876127
1,3,0.776904
1,3,0.57102467
1,3,0.32587478
1,3,0.28038567
1,3,1.7926304
1,3,1.9177452
1,3,1.5079081
1,3,1.0245198
1,3,0.85755978
1,3,1.0167047
1,3,0.94129222
1,3,1.6565397
1,3,1.1308597
1,3,1.3765776
1,3,1.2823008
1,3,1.2715293
1,3,3.0036471
1,3,1.5117738
1,3,1.9981894
1,3,1.9450337
1,3,2.1348525
1,3,1.7209156
1,3,0.43744678
1,3,1.18451
1,3,0.47284027
1,3,1.1021728
1,3,0.48192198
1,3,1.0582651
1,3,0.96669588
1,3,2.0361788
1,3,2.4631019
1,3,3.0703167
1,3,3.1666835
1,3,1.758769
1,3,1.4420993
1,3,1.1690601
1,3,1.0128784
1,3,0.9736119
1,3,0.75276133
1,3,1.1780684
1,3,0.743126
1,3,1.2619801
1,3,0.73987567
1,3,1.0786333
1,3,1.4132812
1,3,2.3300696
1,3,1.7054544
1,3,1.4480812
1,3,0.71369066
1,3,1.2836219
1,3,0.80016933
1,3,0.85372544
1,3,2.4203748
1,3,2.1165811
1,3,1.4080479
1,3,1.7578632
1,3,1.2112929
1,3,1.3695619
1,3,1.4686724
1,3,1.7854753
1,3,0.886244
1,3,0.66430422
1,3,1.3775036
1,3,0.97125716
1,3,1.1305652
1,3,1.6679556
1,3,1.9930868
1,3,1.4064764
1,3,1.6404108
1,3,1.4622021
1,3,1.9109789
1,3,1.2697572
1,3,1.5125805
1,3,1.7777332
1,3,2.0423838
1,3,1.4028323
1,3,0.85536541
1,3,0.65196822
1,3,1.2323731
1,3,1.0929013
0.25,3,0.81121756
0.25,3,0.73801689
0.25,3,0.82122967
0.25,3,1.2598169
0.25,3,0.63591835
0.25,3,0.72637689
0.25,3,0.60449967
0.25,3,0.30917392
0.25,3,0.89596822
0.25,3,0.22201489
0.25,3,0.33601811
0.25,3,0.30455106
0.25,3,0.373868
0.25,3,0.91076267
0.25,3,0.33561978
0.25,3,0.36653444
0.25,3,0.47327589
0.25,3,0.34298433
0.25,3,0.93802497
0.25,3,0.30672147
0.25,3,1.5567263
0.25,3,1.9766759
0.25,3,1.8320868
0.25,3,1.7203209
0.25,3,1.3974362
0.25,3,1.3790163
0.25,3,1.4442717
0.25,3,2.0137358
0.25,3,1.5998434
0.25,3,1.6656969
0.25,3,2.2118887
0.25,3,1.7392748
0.25,3,1.8618445
0.25,3,2.6312687
0.25,3,1.8408841
0.25,3,2.147329
0.25,3,1.582313
0.25,3,2.4584143
0.25,3,1.931782
0.25,3,3.0097422
0.25,3,2.9840194
0.25,3,4.1131151
0.25,3,3.3960477
0.25,3,3.0721888
0.25,3,4.3692655
0.25,3,3.8331624
0.25,3,1.063691
0.25,3,2.1020063
0.25,3,1.936276
0.25,3,2.67361
0.25,3,2.2664709
0.25,3,3.4090567
0.25,3,2.705803
0.25,3,2.9466508
0.25,3,2.8678898
0.25,3,2.622907
0.25,3,3.2306402
0.25,3,2.6275677
0.25,3,2.5278161
0.25,3,3.201366
0.25,3,2.512129
0.25,3,2.5494226
0.25,3,3.2315431
0.25,3,2.468669
0.25,3,2.5779969
0.25,3,3.1264092
0.25,3,2.4844451
0.25,3,2.0165563
0.25,3,3.1300912
0.25,3,3.2520338
0.25,3,3.07881
0.25,3,3.0886364
0.25,3,2.1146109
0.25,3,2.11068
0.25,3,2.8301788
0.25,3,2.7886608
0.25,3,2.2896718
0.25,3,2.2369101
0.25,3,2.2356459
0.25,3,2.7583081
0.25,3,2.0358962
0.25,3,2.1221001
0.25,3,2.5822201
0.25,3,2.0538882
0.25,3,2.6607075
0.25,3,2.1967565
0.25,3,2.888611
0.25,3,2.3688942
0.25,3,2.2448094
0.25,3,2.1856796
0.25,3,2.1021778
0.25,3,2.8099651
0.25,3,1.8103257
0.25,3,1.6260642
0.25,3,1.7357487
0.25,3,1.5412136
0.3,3,1.1821427
0.3,3,0.86838867
0.3,3,0.29635011
0.3,3,0.33034989
0.3,3,0.85632009
0.3,3,0.3338604
0.3,3,0.33421922
0.3,3,0.27335567
0.3,3,0.36043733
0.3,3,0.89437081
0.3,3,0.37596374
0.3,3,0.36466189
0.3,3,0.28904289
0.3,3,0.361585
0.3,3,0.87353011
0.3,3,0.3381071
0.3,3,0.32364178
0.3,3,0.25246218
0.3,3,0.39902689
0.3,3,0.76198668
0.3,3,1.4429127
0.3,3,1.6341482
0.3,3,1.2041171
0.3,3,1.228147
0.3,3,1.6583701
0.3,3,1.0986842
0.3,3,0.94908489
0.3,3,0.96587636
0.3,3,1.0682211
0.3,3,1.9847261
0.3,3,1.3005245
0.3,3,1.5337348
0.3,3,1.6128922
0.3,3,1.4041123
0.3,3,2.1310514
0.3,3,3.2045993
0.3,3,3.3488282
